gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
AT5G38690,2.05E-67,0.937015474,0.916,0.353,4.61E-63,10,AT5G38690,ORTHO905GF002491
AT3G20670,2.86E-67,0.98758449,0.985,0.71,6.45E-63,10,HTA13,ORTHO905GF001770
AT4G39840,9.24E-67,0.909588543,0.977,0.435,2.08E-62,10,AT4G39840,ORTHO905GF001580
AT1G72140,1.47E-66,0.814969506,0.802,0.187,3.32E-62,10,NPF5.12,ORTHO905GF000162
AT5G24070,2.50E-66,1.093544939,0.947,0.26,5.63E-62,10,PER61,ORTHO905GF018266
AT5G13870,2.84E-66,1.221920508,0.885,0.319,6.39E-62,10,XTH5,ORTHO905GF004772
AT1G05280,4.19E-66,0.763612224,0.908,0.254,9.44E-62,10,AT1G05280,ORTHO905GF003800
AT4G39380,5.26E-66,0.43758326,0.481,0.071,1.18E-61,10,AT4G39380,ORTHO905GF007478
AT4G20000,7.29E-66,1.012977932,0.954,0.283,1.64E-61,10,AT4G20000,ORTHO905GF036183
AT1G06930,1.06E-65,0.810237784,0.916,0.29,2.38E-61,10,AT1G06930,ORTHO905GF005636
AT5G66870,1.33E-65,0.757293228,0.947,0.295,3.00E-61,10,LBD36,ORTHO905GF000354
AT3G50900,1.43E-65,1.023945227,0.977,0.335,3.22E-61,10,AT3G50900,ORTHO905GF007249
AT2G38760,1.64E-65,0.925428306,0.992,0.337,3.70E-61,10,ANN3,ORTHO905GF001286
AT2G41450,1.70E-65,0.430307524,0.374,0.044,3.82E-61,10,AT2G41450,ORTHO905GF010952
AT2G04160,2.06E-65,1.106320154,1,0.356,4.65E-61,10,AIR3,ORTHO905GF000550
AT2G22770,2.83E-65,0.945109129,0.992,0.395,6.39E-61,10,NAI1,ORTHO905GF001174
AT5G23420,4.15E-65,1.03256669,0.733,0.186,9.36E-61,10,HMGB7,ORTHO905GF010066
AT2G14960,4.45E-65,0.58851379,0.588,0.103,1.00E-60,10,GH3.1,ORTHO905GF001350
AT5G47990,4.48E-65,1.033399555,0.878,0.254,1.01E-60,10,CYP705A5,ORTHO905GF002347
AT5G15160,5.56E-65,0.838683289,0.855,0.205,1.25E-60,10,PRE2,ORTHO905GF002248
AT5G18860,6.98E-65,0.763594399,0.931,0.294,1.57E-60,10,AT5G18860,ORTHO905GF001274
AT3G12170,9.39E-65,0.631647902,0.595,0.115,2.12E-60,10,AT3G12170,ORTHO905GF005275
AT5G51310,1.06E-64,0.683294889,0.702,0.146,2.39E-60,10,AT5G51310,ORTHO905GF036254
AT2G28760,1.13E-64,1.061529521,0.992,0.355,2.54E-60,10,UXS6,ORTHO905GF004904
AT4G30080,1.56E-64,0.829813656,0.969,0.315,3.52E-60,10,ARF16,ORTHO905GF000657
AT2G34170,1.79E-64,0.730873473,0.863,0.255,4.02E-60,10,AT2G34170,ORTHO905GF025726
AT5G54970,1.99E-64,0.873458165,0.977,0.431,4.48E-60,10,AT5G54970,ORTHO905GF025413
AT5G67070,3.95E-64,0.846090767,0.916,0.333,8.90E-60,10,RALFL34,ORTHO905GF018065
AT3G02590,1.10E-63,0.446125376,0.534,0.088,2.47E-59,10,HDF7,ORTHO905GF005008
AT5G57510,1.66E-63,1.074694091,0.969,0.321,3.75E-59,10,AT5G57510,ORTHO905GF014275
AT5G10390,1.81E-63,1.117181377,0.641,0.147,4.07E-59,10,HTR1.1,ORTHO905GF000014
AT1G57820,2.07E-63,0.788045399,0.885,0.285,4.68E-59,10,ORTH2,ORTHO905GF002764
AT1G54000,2.47E-63,1.145132918,1,0.638,5.56E-59,10,GLL22,ORTHO905GF016359
AT1G66270,6.37E-63,1.208457754,1,0.676,1.44E-58,10,BGLU21,ORTHO905GF012200
AT2G43600,9.35E-63,0.894466569,0.756,0.179,2.11E-58,10,AT2G43600,ORTHO905GF019890
AT5G41070,1.05E-62,0.694782762,0.763,0.189,2.36E-58,10,DRB5,ORTHO905GF009211
AT4G15370,1.26E-62,0.515360346,0.542,0.092,2.85E-58,10,BARS1,ORTHO905GF016362
AT3G06890,2.97E-62,0.720305217,0.916,0.302,6.69E-58,10,AT3G06890,ORTHO905GF003027
AT5G19160,3.14E-62,0.792961064,0.84,0.25,7.07E-58,10,TBL11,ORTHO905GF001607
AT1G02390,5.08E-62,0.850090713,0.756,0.18,1.14E-57,10,GPAT2,ORTHO905GF003868
AT5G12940,1.34E-61,1.023690865,1,0.519,3.02E-57,10,AT5G12940,ORTHO905GF005758
AT1G54030,1.61E-61,1.072621706,1,0.57,3.62E-57,10,MVP1,ORTHO905GF016359
AT4G18335,1.73E-61,0.5507686,0.679,0.141,3.90E-57,10,AT4G18335,ORTHO905GF025585
AT5G05240,2.08E-61,0.545765408,0.695,0.16,4.69E-57,10,AT5G05240,ORTHO905GF005272
AT5G66460,3.28E-61,0.747586499,0.802,0.198,7.39E-57,10,MAN7,ORTHO905GF005438
AT5G35940,9.20E-61,1.083366064,0.992,0.412,2.07E-56,10,JAL41,ORTHO905GF001006
AT1G75710,9.34E-61,0.801090341,0.985,0.397,2.10E-56,10,AT1G75710,ORTHO905GF006226
AT3G54150,1.07E-60,0.560530272,0.733,0.162,2.41E-56,10,AT3G54150,ORTHO905GF021991
AT1G13970,1.57E-60,0.793091035,0.939,0.326,3.55E-56,10,AT1G13970,ORTHO905GF001614
AT5G49160,2.07E-60,0.511676196,0.534,0.097,4.66E-56,10,DMT1,ORTHO905GF001677
AT4G01770,7.09E-60,0.77481835,0.885,0.248,1.60E-55,10,RGXT1,ORTHO905GF006153
AT3G17160,1.15E-59,0.846556022,1,0.575,2.58E-55,10,AT3G17160,ORTHO905GF038282
AT1G23150,1.62E-59,0.845889937,0.985,0.311,3.65E-55,10,AT1G23150,ORTHO905GF002037
AT4G11610,1.70E-59,0.736527785,0.855,0.233,3.84E-55,10,AT4G11610,ORTHO905GF000124
AT5G48600,1.93E-59,0.621285927,0.687,0.172,4.35E-55,10,ATSMC3,ORTHO905GF010175
AT3G10720,2.09E-59,0.923789722,0.969,0.318,4.72E-55,10,PME25,ORTHO905GF015071
AT5G18460,2.09E-59,0.67177391,0.863,0.239,4.72E-55,10,AT5G18460,ORTHO905GF006472
AT5G35926,2.24E-59,0.473576027,0.618,0.124,5.05E-55,10,AT5G35926,ORTHO905GF000188
AT3G57860,2.32E-59,0.621796803,0.763,0.176,5.22E-55,10,GIG1,ORTHO905GF003363
AT4G14560,3.75E-59,1.115801723,1,0.408,8.46E-55,10,IAA1,ORTHO905GF001044
AT5G40780,4.06E-59,0.959958022,0.954,0.331,9.15E-55,10,LHT1,ORTHO905GF000282
AT3G50180,7.12E-59,0.29218907,0.321,0.035,1.60E-54,10,AT3G50180,ORTHO905GF003943
AT5G66800,7.59E-59,0.823391175,0.87,0.284,1.71E-54,10,AT5G66800,ORTHO905GF001727
AT2G21187,1.94E-58,0.554918163,0.672,0.144,4.37E-54,10,AT2G21187,#N/A
AT5G03355,2.24E-58,0.480044198,0.588,0.118,5.04E-54,10,AT5G03355,ORTHO905GF000061
AT4G01240,2.67E-58,0.869452872,0.962,0.297,6.02E-54,10,AT4G01240,ORTHO905GF016335
AT1G12740,2.78E-58,1.128417545,0.985,0.404,6.27E-54,10,CYP87A2,ORTHO905GF003818
AT3G52630,3.33E-58,0.857385389,0.656,0.16,7.51E-54,10,RPA3A,ORTHO905GF003179
AT1G73340,1.01E-57,0.706362928,0.84,0.213,2.29E-53,10,AT1G73340,ORTHO905GF018122
